Language,Language (local),Wiki,Articles,Total pages,Edits,Admins,Users,Active users,Files,Depth,Percentage
Aromanian,armãneashti,roa-rup,"1,333","4,379","206,916",1,"13,637",13,0,246.73,0%
Lojban,la .lojban.,jbo,"1,329","5,755","112,122",1,"15,916",12,0,216.08,0%
Oromo,Oromoo,om,"1,326","4,295","39,927",1,"10,317",24,0,46.61,0%
Kongo (Kituba),Kongo,kg,"1,286","2,951","44,147",1,"10,580",13,0,25.08,0%
Fijian,Na Vosa Vakaviti,fj,"1,278","3,648","35,638",1,"8,851",13,0,——,0%
Lak,лакку,lbe,"1,268","15,220","51,439",1,"8,205",11,0,409.18,0%
Tahitian,reo tahiti,ty,"1,220","3,004","53,286",1,"7,239",7,0,37.93,0%
Gun,gungbe,guw,"1,208","2,250","35,170",2,991,11,0,——,0%
Old Church Slavonic,словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ,cu,"1,199","5,645","84,197",2,"24,474",19,0,205.08,0%
Seediq,Seediq,trv,"1,137","2,006","93,541",1,"1,584",15,0,——,0%
Sranan Tongo,Sranantongo,srn,"1,119","2,743","39,382",1,"7,461",12,0,30.24,0%
Fula,Fulfulde,ff,"1,103","3,552","30,966",2,"8,631",43,0,——,0%
Samoan,Gagana Samoa,sm,"1,076","3,350","43,123",1,"10,126",7,0,57.49,0%
Southern Altai,алтай тил,alt,"1,071","4,463","40,162",3,"2,279",12,0,——,0%
French Guianese Creole,kriyòl gwiyannen,gcr,"1,064","2,622","16,964",1,"2,667",12,0,——,0%
Tswana,Setswana,tn,"1,052","4,418","31,356",1,"9,858",12,4,72.66,0%
Cherokee,ᏣᎳᎩ,chr,"1,051","4,143","48,329",1,"23,589",18,0,100.96,0%
Latgalian,latgaļu,ltg,"1,042","3,305","36,268",1,"7,142",18,0,51.76,0%
Madurese,Madhurâ,mad,"1,035","1,876","13,362",1,"2,103",27,0,——,0%
Chewa,Chi-Chewa,ny,"1,022","4,688","41,815",3,"10,222",11,0,——,0%
Sotho,Sesotho,st,916,"4,409","29,422",1,"10,081",17,0,——,0%
Norfuk,Norfuk / Pitkern,pih,898,"3,345","44,472",1,"11,157",15,0,——,0%
Gothic,𐌲𐌿𐍄𐌹𐍃𐌺,got,872,"3,822","46,457",1,"18,838",10,0,——,0%
Romani (Vlax Romani),romani čhib,rmy,863,"2,932","51,475",1,"17,139",16,0,100.91,0%
Ewe,eʋegbe,ee,832,"3,687","54,934",2,"14,120",14,0,——,0%
Amis,Pangcah,ami,816,"1,863","38,261",1,"1,590",22,0,——,0%
Bambara,bamanankan,bm,796,"3,232","40,848",1,"10,480",9,0,——,0%
Venda,Tshivenda,ve,748,"2,257","19,866",1,"7,699",13,0,——,0%
Tsonga,Xitsonga,ts,742,"3,867","37,485",2,"9,620",12,0,——,0%
Swazi,SiSwati,ss,736,"2,650","39,008",3,"8,139",14,0,99.55,0%
Nigerian Pidgin,Naijá,pcm,730,"1,735","21,622",3,952,20,0,23.62,0%
Cheyenne,Tsetsêhestâhese,chy,698,"2,242","24,670",1,"11,273",14,0,53.84,0%
Tyap,Tyap,kcg,641,"3,490","21,928",2,941,12,0,——,0%
Kirundi,ikirundi,rn,633,"2,516","23,447",1,"9,482",12,0,——,0%
Chamorro,Chamoru,ch,549,"2,513","23,476",1,"15,277",8,0,——,0%
Frafra,farefare,gur,545,"1,307","7,991",1,507,21,0,11.95,0%
Iñupiaq,Iñupiatun,ik,504,"2,714","38,993",2,"8,464",16,0,——,0%
Pontic Greek,Ποντιακά,pnt,488,"2,059","35,341",1,"10,043",10,0,——,0%
Adyghe,адыгабзэ,ady,477,"3,470","13,167",1,"6,745",18,0,——,0%
Wayuu,wayuunaiki,guc,473,865,"12,155",1,633,22,0,9.65,0%
Inuktitut,ᐃᓄᒃᑎᑐᑦ / inuktitut,iu,451,"3,013","46,249",2,"18,473",8,0,——,0%
Paiwan,pinayuanan,pwn,331,509,"11,944",1,"1,296",7,0,——,0%
Sango,Sängö,sg,315,"1,990","20,711",2,"6,349",9,0,——,0%
Dinka,Thuɔŋjäŋ,din,309,"1,091","8,326",1,"6,083",12,0,——,0%
Tigrinya,ትግርኛ,ti,265,"2,811","24,263",2,"9,088",15,0,——,0%
Greenlandic,kalaallisut,kl,243,"2,303","74,819",3,"12,941",9,0,——,0%
Dzongkha,ཇོང་ཁ,dz,237,"2,624","30,199",1,"9,950",8,0,——,0%
Cree,Nēhiyawēwin / ᓀᐦᐃᔭᐍᐏᐣ,cr,161,"2,194","38,341",2,"18,097",17,0,——,0%
Ndonga (closed),Oshiwambo,ng,8,442,"5,923",1,"2,387",0,0,——,0%
Choctaw (closed),Chahta anumpa,cho,6,201,"4,220",1,"1,811",0,0,——,0%
Kwanyama (closed),Kwanyama,kj,4,114,"3,548",1,"1,379",0,0,——,0%
Marshallese (closed),Ebon,mh,4,206,"4,212",1,"2,144",0,0,——,0%
Hiri Motu (closed),Hiri Motu,ho,3,129,"3,786",1,"1,577",0,0,——,0%
Nuosu (closed),ꆇꉙ,ii,3,189,"11,653",1,"2,033",1,0,——,0%
Northern Luri (closed),لۊری شومالی,lrc,1,238,"140,069",2,"5,039",2,0,——,0%
Muscogee (closed),Mvskoke,mus,1,115,"3,603",1,"2,350",0,0,——,0%
Afar (closed),Qafár af,aa,0,509,"4,685",1,"4,065",0,0,——,0%
Akan,Akan,ak,0,"1,709","29,870",1,"13,691",13,0,——,0%
Herero (closed),Otsiherero,hz,0,176,"4,483",1,"3,763",1,0,——,0%
Kanuri (closed),kanuri,kr,0,162,"4,641",1,"5,466",1,0,——,0%
Nauruan (closed),Dorerin Naoero,na,0,"1,759","89,930",1,"12,086",3,0,——,0%
